,,Edad del esposo,,,,,,,,,,,,,,
Edad de la esposa,Total,Menos de 20,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60 y más,Ignorado,Año,Menos de 15,15-19,18-19
Otro,3,0,0,0,2,0,1,2014
Ignorado,3502,43,1,0,312,5,3141,2014
Todos los pueblos,5726,345,2,0,1925,15,3439,2015
Maya,334,228,1,0,47,1,57,2015
Garífuna,1,0,1,0,0,0,0,2015
Xinka,0,0,0,0,0,0,0,2015
Mestizo / ladino,1983,71,0,0,1593,7,312,2015
Otro,12,3,0,0,5,1,3,2015
Ignorado,3396,43,0,0,280,6,3067,2015
Todos los pueblos,4074,374,1,0,1924,44,1731,2020
Maya,354,268,0,0,55,6,25,2020
Garífuna,0,0,0,0,0,0,0,2020
Xinka,0,0,0,0,0,0,0,2020
Mestizo / ladino,1944,70,1,0,1641,20,212,2020
Otro,47,5,0,0,25,10,7,2020
Ignorado,1729,31,0,0,203,8,1487,2020
Todos los pueblos,5665,386,1,0,2042,15,3221,2016
Maya,361,280,0,0,43,3,35,2016
Garífuna,2,0,1,0,0,0,1,2016
Xinka,0,0,0,0,0,0,0,2016
Mestizo / ladino,2061,60,0,0,1688,5,308,2016
Otro,20,4,0,0,9,6,1,2016
Ignorado,3221,42,0,0,302,1,2876,2016
Todos los pueblos,8203,623,1,0,3467,70,4042,2019
Maya,579,448,0,0,77,8,46,2019
Garífuna,2,0,0,0,1,1,0,2019
Xinka,0,0,0,0,0,0,0,2019
Mestizo / ladino,3467,119,0,0,2942,43,363,2019
Otro,77,5,1,0,52,7,12,2019
Ignorado,4078,51,0,0,395,11,3621,2019
Todos los pueblos,9950,902,2,4,4994,158,3890,2022
Maya,854,622,0,0,143,16,73,2022
Garífuna,1,0,0,0,0,0,1,2022
Xinka,8,0,0,0,7,0,1,2022
Mestizo / ladino,4994,204,1,3,4230,99,457,2022
Otro,169,13,0,0,111,18,27,2022
Ignorado,3924,63,1,1,503,25,3331,2022
"Fuente: Estadísticas Vitales, INE",,,,,,,,2022
"Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros.",,,,,,,,2022
Todos los pueblos,6255,531,1,1,2443,43,3236,2018
Maya,450,341,0,0,63,5,41,2018
Garífuna,1,0,0,0,1,0,0,2018
Xinka,1,0,0,1,0,0,0,2018
Mestizo / ladino,2492,118,0,0,2036,28,310,2018
Otro,64,9,1,0,41,7,6,2018
Ignorado,3247,63,0,0,302,3,2879,2018

Todos los departamentos,,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Año
Guatemala,3481,244,246,328,298,322,356,298,275,314,290,264,246,2021
El Progreso,232,22,17,25,13,9,17,24,38,20,5,26,16,2021
Sacatepéquez,209,21,16,20,15,22,15,19,18,21,14,14,14,2021
Chimaltenango,270,20,17,24,22,27,20,24,16,28,22,21,29,2021
Escuintla,407,30,27,35,33,33,24,32,35,35,33,48,42,2021
Santa Rosa,323,30,23,40,30,10,31,28,22,31,18,39,21,2021
Sololá,94,12,15,10,2,5,9,4,7,8,7,8,7,2021
Totonicapán,143,9,7,18,11,26,17,10,10,10,8,9,8,2021
Quetzaltenango,897,60,64,72,71,82,80,90,61,66,107,88,56,2021
Suchitepéquez,345,22,29,34,20,27,35,29,27,36,41,28,17,2021
Retalhuleu,307,26,23,25,31,22,28,35,22,27,17,36,15,2021
San Marcos,381,32,17,21,30,29,38,27,35,41,35,47,29,2021
Huehuetenango,370,25,30,15,26,39,46,30,41,31,34,34,19,2021
Quiché,262,30,12,28,12,25,16,18,24,38,17,14,28,2021
Baja Verapaz,139,20,14,15,5,7,4,16,17,16,7,7,11,2021
Alta Verapaz,174,10,11,11,15,14,19,17,11,23,13,8,22,2021
Petén,277,31,17,32,24,23,24,22,18,15,22,18,31,2021
Izabal,303,24,19,29,27,38,28,25,26,20,28,24,15,2021
Zacapa,178,20,13,19,18,14,8,11,23,9,16,11,16,2021
Chiquimula,283,13,17,29,22,29,24,16,19,24,21,43,26,2021
