DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,EDADHOM,EDADMUJ,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOHOM,CIUOMUJ
16,1601,1,2014,12,2,16,1601,31,29,1,1,320,320,2,2,61,NEOG
16,1601,5,2013,12,2,16,1601,30,28,1,1,320,320,2,2,61,NEOG
4,0406,3,2013,29,1,4,0401,25,25,1,1,320,320,2,3,61,NEOG
7,0701,4,2013,25,3,7,0701,26,23,1,1,320,320,3,3,61,NEOG
14,1401,9,2013,16,7,14,1401,22,23,1,1,320,320,2,3,61,NEOG
17,1708,11,2013,18,9,17,1712,25,19,1,1,320,320,9,2,61,NEOG
14,1403,2,2013,15,1,14,1403,999,999,4,1,320,320,2,2,61,NEOG
10,1015,7,2013,17,6,10,1001,63,64,4,4,320,320,2,2,61,NEOG
5,0512,8,2013,12,7,5,0512,50,60,4,4,320,320,2,2,61,NEOG
9,0922,7,2013,7,1,9,0922,55,52,4,4,320,320,2,2,61,NEOG
19,1901,6,2013,7,5,19,1901,999,46,4,4,320,320,2,2,61,NEOG
3,0301,7,2013,6,5,3,0301,56,44,4,4,320,320,2,3,61,NEOG
12,1217,12,2013,26,8,12,1217,52,43,4,4,320,320,2,2,61,NEOG
17,1704,2,2014,27,12,17,1704,46,42,4,4,320,320,9,9,61,NEOG
22,2204,4,2013,26,3,22,2201,42,40,4,9,320,320,2,9,61,NEOG
18,1804,2,2013,18,2,18,1801,58,38,4,4,320,320,2,1,61,NEOG
1,0116,6,2013,26,3,1,0101,36,33,4,4,320,320,2,2,61,NEOG
2,0207,7,2013,2,7,2,0201,27,31,4,4,320,320,3,3,61,NEOG
13,1311,7,2013,5,6,13,1312,37,28,4,4,320,320,9,2,61,NEOG
22,2202,12,2013,5,11,22,2202,34,28,4,4,320,320,2,3,61,NEOG
20,2001,7,2013,6,2,20,2001,32,28,4,4,320,320,2,1,61,NEOG
22,2212,6,2013,18,4,22,2212,32,28,4,4,320,320,2,3,61,NEOG
19,1904,4,2013,4,4,19,1901,30,27,4,4,320,320,2,2,61,NEOG
11,1106,7,2013,20,5,11,1106,28,26,4,1,320,320,2,1,61,NEOG
14,1421,4,2013,5,2,14,1401,30,25,4,4,320,320,2,4,61,NEOG
11,1106,2,2014,6,11,11,1106,27,24,4,4,320,320,2,2,61,NEOG
20,2008,9,2013,19,3,20,2001,41,23,4,4,320,320,9,9,61,NEOG
6,0604,1,2014,3,10,6,0604,29,23,4,4,320,320,2,2,61,NEOG
11,1101,12,2013,11,9,11,1101,22,22,4,4,320,320,2,2,61,NEOG
12,1228,10,2013,6,8,12,1201,21,22,4,1,320,320,2,9,61,NEOG
15,1506,11,2013,15,10,15,1501,25,21,4,4,320,320,2,2,61,NEOG
22,2216,1,2014,18,12,22,2216,22,21,4,4,320,320,2,2,61,NEOG
21,2101,7,2013,18,4,21,2101,38,20,4,4,320,320,2,1,61,NEOG
2,0201,12,2013,8,8,2,0201,27,20,4,4,320,320,3,3,61,NEOG
13,1301,2,2013,7,1,13,1301,20,20,4,4,320,320,2,2,61,NEOG
1,0116,2,2013,31,1,1,0101,27,19,4,4,320,320,2,2,61,NEOG
19,1901,2,2014,3,12,19,1901,39,18,4,4,320,320,2,2,61,NEOG
5,0506,10,2013,3,9,10,1001,20,18,4,4,320,320,2,2,61,NEOG
14,1418,10,2013,9,9,14,1401,34,28,5,5,320,320,2,3,61,NEOG
1,0101,6,2013,30,4,1,0101,999,999,9,9,320,320,9,9,61,NEOG
